_0936_,n_936,sdaDeb
_0937_,n_888,sclDeb
_1041_,n_900,u_serialInterfacebitCnt[2]
_1039_,n_908,u_serialInterfacebitCnt[0]
_1040_,n_515,u_serialInterfacebitCnt[1]
_1021_,n_904,u_serialInterfaceclearStartStopDet
_1003_,n_505,u_serialInterfacestreamSt[3]
_1002_,n_504,u_serialInterfacestreamSt[2]
_1001_,n_507,u_serialInterfacestreamSt[1]
_1012_,n_502,u_serialInterfaceCurrState_SISt[8]
_1050_,n_506,u_serialInterfacetxData[0]
_1042_,n_498,u_serialInterfacerxData[0]
_1043_,n_489,u_serialInterfacerxData[1]
_1044_,n_497,u_serialInterfacerxData[2]
_1045_,n_496,u_serialInterfacerxData[3]
_1046_,n_495,u_serialInterfacerxData[4]
_1047_,n_494,u_serialInterfacerxData[5]
_1048_,n_493,u_serialInterfacerxData[6]
_1049_,n_492,u_serialInterfacerxData[7]
_1051_,n_479,u_serialInterfacetxData[1]
_1052_,n_478,u_serialInterfacetxData[2]
_1053_,n_476,u_serialInterfacetxData[3]
_1054_,n_475,u_serialInterfacetxData[4]
_1055_,n_474,u_serialInterfacetxData[5]
_1056_,n_473,u_serialInterfacetxData[6]
_1057_,n_472,u_serialInterfacetxData[7]
_1020_,n_952,sdaOut
_1000_,n_944,u_serialInterfacestreamSt[0]
_1017_,n_433,u_serialInterfaceCurrState_SISt[13]
_1008_,n_896,u_serialInterfaceCurrState_SISt[4]
_1005_,n_426,u_serialInterfaceCurrState_SISt[1]
_1014_,n_409,u_serialInterfaceCurrState_SISt[10]
_1018_,n_920,u_serialInterfaceCurrState_SISt[14]
_1019_,n_390,u_serialInterfaceCurrState_SISt[15]
_1009_,n_384,u_serialInterfaceCurrState_SISt[5]
_1010_,n_383,u_serialInterfaceCurrState_SISt[6]
_1016_,n_382,u_serialInterfaceCurrState_SISt[12]
_1013_,n_388,u_serialInterfaceCurrState_SISt[9]
_1031_,n_374,u_serialInterfacedataOut[0]
_1035_,n_379,u_serialInterfacedataOut[4]
_1037_,n_376,u_serialInterfacedataOut[6]
_1032_,n_381,u_serialInterfacedataOut[1]
_1036_,n_377,u_serialInterfacedataOut[5]
